epoch,train_loss,train_acc@1,train_acc@5,test_loss,test_acc@1,test_acc@5
35,0.6783038813972473,76.268,97.98,0.5036484273910522,82.52000000000001,99.31
36,0.6718764771842957,76.42999999999999,98.10799999999999,0.4910806393623352,82.73,99.4
37,0.6751822893714905,76.378,98.012,0.4920694389343262,83.09,99.29
38,0.6773255852508545,76.474,98.03,0.4907307583808899,83.1,99.28
39,0.6730697238731385,76.688,97.966,0.49461668014526367,83.0,99.33
40,0.6771819773483276,76.442,97.908,0.48046377286911013,83.43,99.36
41,0.6771760939788818,76.622,98.018,0.48863474645614624,82.99,99.3
42,0.6781190562820435,76.332,98.0,0.4887408423423767,83.03,99.33999999999999
43,0.6759820978546143,76.506,98.02199999999999,0.4884908368110657,83.09,99.35000000000001
44,0.6720139203262329,76.77199999999999,98.026,0.4808389207839966,83.54,99.37
45,0.6743065283584595,76.228,98.05,0.4883333638191223,83.15,99.39
46,0.676255081615448,76.312,97.96000000000001,0.4939683141708374,82.84,99.33
47,0.670436710395813,76.672,97.954,0.48891235933303834,82.88,99.31
48,0.6731571946525574,76.562,98.032,0.47833312225341795,83.24000000000001,99.33
49,0.674508018951416,76.416,97.974,0.48921491594314576,83.16,99.37
50,0.6706173726463318,76.582,97.892,0.49759586038589476,82.27,99.33999999999999
51,0.678500760307312,76.372,97.92999999999999,0.48561383142471315,83.43,99.3
52,0.6659089149856567,76.842,98.018,0.48951597805023195,83.13000000000001,99.35000000000001
53,0.6680034469795227,76.666,98.03399999999999,0.48430924882888793,83.46000000000001,99.31
54,0.6660393148994446,76.812,98.03,0.48394125642776487,83.39,99.39
55,0.6683057558059693,76.63,98.002,0.47694887256622315,83.64,99.41
56,0.6703277297401429,76.63600000000001,98.0,0.4770232259750366,83.61,99.3
57,0.6644209128379822,76.94,98.028,0.4839173038482666,83.66,99.35000000000001
58,0.6683506409835815,76.69399999999999,98.06200000000001,0.49423978624343873,82.83,99.35000000000001
59,0.6647459796905517,76.842,98.02199999999999,0.48061433773040774,83.56,99.26
60,0.6591581546401978,76.96,98.066,0.4811961598396301,83.62,99.29
61,0.6642644675064087,76.726,98.042,0.47951996755599974,83.88,99.35000000000001
62,0.6682914880752564,76.84,97.968,0.4929945101737976,83.24000000000001,99.3
63,0.6612974453163147,76.89200000000001,98.03399999999999,0.47811511602401735,83.66,99.39
64,0.6620641403961182,77.108,98.102,0.4791857006072998,83.45,99.42
65,0.6646217955780029,76.952,97.994,0.48747339429855346,83.17,99.32
66,0.6631391051864624,76.668,97.954,0.48372891511917115,83.24000000000001,99.4
67,0.6641625803184509,77.008,97.992,0.4731551906585693,83.8,99.38
68,0.6653912569046021,76.852,98.016,0.4805143811225891,83.67999999999999,99.39
69,0.6639941278457642,76.952,97.994,0.49037429275512695,83.25,99.33
70,0.6586842619514466,77.00200000000001,98.104,0.4711175576210022,83.78999999999999,99.35000000000001
71,0.661929872303009,76.9,97.976,0.4793776412010193,83.66,99.35000000000001
72,0.6618433344650269,76.91,98.05,0.48092399234771727,83.47,99.4
73,0.6608322849655152,76.858,98.058,0.47397697563171387,83.88,99.31
74,0.6575210212898255,77.13,98.08200000000001,0.47522800817489624,83.63000000000001,99.45
75,0.6587619476509095,76.884,98.048,0.4732459845542908,83.55,99.37
76,0.6666015559005737,76.562,98.004,0.4776193748474121,83.43,99.38
77,0.6564942395973206,77.10000000000001,97.99600000000001,0.4910306438446045,82.95,99.36
78,0.6565062644577027,76.99000000000001,97.974,0.4752738345146179,83.53,99.44
79,0.6579116668891907,76.998,98.018,0.46841528177261355,84.06,99.48
80,0.6638137508392334,76.874,97.962,0.4660698154449463,83.89,99.44
